File Name,Map Coordinates,Title Coordinates,Legend Coordinates,Type
map_42.png,"(' 106', ' 43', ' 435', ' 571')","(' 3', ' 45', ' 30', ' 436')","(' 68', ' 620', ' 488', ' 695')",continuous
map_47.png,"(' 116', ' 51', ' 429', ' 555')","(' 16', ' 37', ' 46', ' 405')","(' 76', ' 608', ' 496', ' 697')",continuous
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,"(' 89', ' 137', ' 520', ' 891')","(' 33', ' 275', ' 90', ' 770')","(' 52', ' 913', ' 544', ' 1039')",continuous
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
covid19_new_deaths_usa-20210716_png.rf.c5fa3294612defa57ee9e56466f6ffb1.jpg,"(' 91', ' 142', ' 518', ' 891')","(' 33', ' 299', ' 90', ' 732')","(' 61', ' 918', ' 555', ' 1008')",continuous
covid19_confirmed_usa-20210716_png.rf.ed4aa0d768821db9da19b980461c9831.jpg,"(' 90', ' 142', ' 519', ' 891')","(' 33', ' 279', ' 90', ' 765')","(' 55', ' 919', ' 549', ' 1002')",continuous
map_29.png,"(' 53', ' 50', ' 422', ' 648')","(' 15', ' 36', ' 44', ' 700')","(' 458', ' 18', ' 492', ' 523')",discrete
map_5076_png.rf.c891ada9a14793d7068ef9806e94fd6f.jpg,"(' 118', ' 171', ' 422', ' 644')","(' 19', ' 50', ' 47', ' 320')","(' 380', ' 15', ' 484', ' 150')",discrete
map_5056_png.rf.dffb70eda6d0f6a5c6d41b469e3ae3e3.jpg,"(' 53', ' 56', ' 421', ' 647')","(' 3', ' 48', ' 31', ' 346')","(' 452', ' 73', ' 490', ' 266')",discrete
map_25.png,"(' 58', ' 60', ' 420', ' 641')","(' 14', ' 21', ' 46', ' 611')","(' 458', ' 82', ' 494', ' 610')",discrete
map_5089_png.rf.6f174470a2e79c66f3a3f91fb4df6b43.jpg,"(' 53', ' 58', ' 414', ' 634')","(' 18', ' 22', ' 47', ' 325')","(' 458', ' 15', ' 488', ' 640')",discrete
